epoch, NLL
0    ,1.5836 
10   ,0.9791 
20   ,0.8500 
30   ,0.8066 
40   ,0.7828 
50   ,0.7652 
60   ,0.7517 
70   ,0.7428 
80   ,0.7369 
90   ,0.7300 
100  ,0.7274 
110  ,0.7230 
120  ,0.7174 
130  ,0.7173 
140  ,0.7154 
0    ,0.7161 
20   ,0.7160 
40   ,0.7157 
60   ,0.7157 
80   ,0.7157 
100  ,0.7160 
120  ,0.7164 
140  ,0.7171 
160  ,0.7178 
180  ,0.7185 
200  ,0.7192 
220  ,0.7200 
240  ,0.7207 
260  ,0.7214 
280  ,0.7221 
300  ,0.7229 
320  ,0.7237 
340  ,0.7243 
360  ,0.7248 
380  ,0.7254 
400  ,0.7261 
420  ,0.7266 
440  ,0.7273 
460  ,0.7280 
480  ,0.7285 
500  ,0.7288 
520  ,0.7288 
540  ,0.7290 
560  ,0.7291 
580  ,0.7292 
600  ,0.7293 
620  ,0.7292 
640  ,0.7291 
660  ,0.7289 
680  ,0.7286 
700  ,0.7282 
720  ,0.7280 
740  ,0.7277 
760  ,0.7274 
780  ,0.7271 
800  ,0.7270 
820  ,0.7268 
840  ,0.7265 
860  ,0.7262 
880  ,0.7262 
900  ,0.7257 
920  ,0.7253 
940  ,0.7249 
960  ,0.7245 
980  ,0.7244 
1000 ,0.7241 
1020 ,0.7238 
1040 ,0.7238 
1060 ,0.7237 
1080 ,0.7235 
1100 ,0.7234 
1120 ,0.7234 
1140 ,0.7234 
1160 ,0.7234 
1180 ,0.7230 
1200 ,0.7229 
1220 ,0.7228 
1240 ,0.7228 
1260 ,0.7228 
1280 ,0.7226 
1300 ,0.7225 
1320 ,0.7225 
1340 ,0.7225 
1360 ,0.7226 
1380 ,0.7225 
1400 ,0.7225 
1420 ,0.7226 
1440 ,0.7226 
1460 ,0.7225 
1480 ,0.7224 
1500 ,0.7223 
1520 ,0.7225 
1540 ,0.7226 
1560 ,0.7226 
1580 ,0.7227 
1600 ,0.7228 
1620 ,0.7229 
1640 ,0.7229 
1660 ,0.7230 
1680 ,0.7232 
1700 ,0.7232 
1720 ,0.7235 
1740 ,0.7237 
1760 ,0.7237 
1780 ,0.7238 
1800 ,0.7238 
1820 ,0.7241 
1840 ,0.7243 
1860 ,0.7243 
1880 ,0.7246 
1900 ,0.7249 
1920 ,0.7252 
1940 ,0.7255 
1960 ,0.7258 
1980 ,0.7261 
