pre_gen_epoch:0, g_pre_loss: 2.2923, nll_gen: 1.5181, bleu2: 0.4518, bleu3: 0.1852, bleu4: 0.0945, bleu5: 0.0652
pre_gen_epoch:10, g_pre_loss: 0.9882, nll_gen: 0.9591, bleu2: 0.7084, bleu3: 0.4656, bleu4: 0.2824, bleu5: 0.1711
pre_gen_epoch:20, g_pre_loss: 0.8662, nll_gen: 0.8521, bleu2: 0.7182, bleu3: 0.4689, bleu4: 0.2824, bleu5: 0.1695
pre_gen_epoch:30, g_pre_loss: 0.8138, nll_gen: 0.8060, bleu2: 0.7308, bleu3: 0.4904, bleu4: 0.3029, bleu5: 0.1910
pre_gen_epoch:40, g_pre_loss: 0.7848, nll_gen: 0.7811, bleu2: 0.7472, bleu3: 0.5130, bleu4: 0.3188, bleu5: 0.2026
pre_gen_epoch:50, g_pre_loss: 0.7645, nll_gen: 0.7667, bleu2: 0.7373, bleu3: 0.4937, bleu4: 0.3080, bleu5: 0.1911
pre_gen_epoch:60, g_pre_loss: 0.7495, nll_gen: 0.7563, bleu2: 0.7460, bleu3: 0.5234, bleu4: 0.3321, bleu5: 0.2043
pre_gen_epoch:70, g_pre_loss: 0.7411, nll_gen: 0.7512, bleu2: 0.7496, bleu3: 0.5248, bleu4: 0.3322, bleu5: 0.2042
pre_gen_epoch:80, g_pre_loss: 0.7344, nll_gen: 0.7495, bleu2: 0.7242, bleu3: 0.4890, bleu4: 0.2957, bleu5: 0.1780
pre_gen_epoch:90, g_pre_loss: 0.7307, nll_gen: 0.7438, bleu2: 0.7169, bleu3: 0.4704, bleu4: 0.2803, bleu5: 0.1733
pre_gen_epoch:100, g_pre_loss: 0.7235, nll_gen: 0.7408, bleu2: 0.7476, bleu3: 0.5039, bleu4: 0.3174, bleu5: 0.2041
pre_gen_epoch:110, g_pre_loss: 0.7204, nll_gen: 0.7362, bleu2: 0.7314, bleu3: 0.4917, bleu4: 0.2898, bleu5: 0.1792
pre_gen_epoch:120, g_pre_loss: 0.7181, nll_gen: 0.7323, bleu2: 0.7423, bleu3: 0.5176, bleu4: 0.3189, bleu5: 0.1996
pre_gen_epoch:130, g_pre_loss: 0.7165, nll_gen: 0.7312, bleu2: 0.7399, bleu3: 0.5038, bleu4: 0.3140, bleu5: 0.1949
pre_gen_epoch:140, g_pre_loss: 0.7160, nll_gen: 0.7298, bleu2: 0.7319, bleu3: 0.5122, bleu4: 0.3158, bleu5: 0.1939
adv_step: 0, nll_gen: 0.7259, bleu2: 0.7256, bleu3: 0.4916, bleu4: 0.3118, bleu5: 0.1982
adv_step: 20, nll_gen: 0.7258, bleu2: 0.7428, bleu3: 0.5010, bleu4: 0.3147, bleu5: 0.2019
adv_step: 40, nll_gen: 0.7255, bleu2: 0.7438, bleu3: 0.4988, bleu4: 0.3163, bleu5: 0.1976
adv_step: 60, nll_gen: 0.7253, bleu2: 0.7312, bleu3: 0.5143, bleu4: 0.3283, bleu5: 0.2128
adv_step: 80, nll_gen: 0.7253, bleu2: 0.7476, bleu3: 0.5180, bleu4: 0.3187, bleu5: 0.1958
adv_step: 100, nll_gen: 0.7255, bleu2: 0.7434, bleu3: 0.5172, bleu4: 0.3286, bleu5: 0.2008
adv_step: 120, nll_gen: 0.7260, bleu2: 0.7487, bleu3: 0.5201, bleu4: 0.3226, bleu5: 0.2019
adv_step: 140, nll_gen: 0.7265, bleu2: 0.7529, bleu3: 0.5335, bleu4: 0.3340, bleu5: 0.2102
adv_step: 160, nll_gen: 0.7272, bleu2: 0.7529, bleu3: 0.5326, bleu4: 0.3394, bleu5: 0.2181
adv_step: 180, nll_gen: 0.7279, bleu2: 0.7492, bleu3: 0.5339, bleu4: 0.3525, bleu5: 0.2291
adv_step: 200, nll_gen: 0.7287, bleu2: 0.7594, bleu3: 0.5355, bleu4: 0.3466, bleu5: 0.2198
adv_step: 220, nll_gen: 0.7296, bleu2: 0.7658, bleu3: 0.5482, bleu4: 0.3528, bleu5: 0.2217
adv_step: 240, nll_gen: 0.7305, bleu2: 0.7745, bleu3: 0.5664, bleu4: 0.3570, bleu5: 0.2248
adv_step: 260, nll_gen: 0.7317, bleu2: 0.7490, bleu3: 0.5337, bleu4: 0.3474, bleu5: 0.2246
adv_step: 280, nll_gen: 0.7327, bleu2: 0.7707, bleu3: 0.5584, bleu4: 0.3653, bleu5: 0.2270
adv_step: 300, nll_gen: 0.7337, bleu2: 0.7621, bleu3: 0.5453, bleu4: 0.3588, bleu5: 0.2325
adv_step: 320, nll_gen: 0.7347, bleu2: 0.7613, bleu3: 0.5581, bleu4: 0.3699, bleu5: 0.2304
adv_step: 340, nll_gen: 0.7358, bleu2: 0.7683, bleu3: 0.5490, bleu4: 0.3584, bleu5: 0.2283
adv_step: 360, nll_gen: 0.7370, bleu2: 0.7596, bleu3: 0.5535, bleu4: 0.3695, bleu5: 0.2363
adv_step: 380, nll_gen: 0.7379, bleu2: 0.7592, bleu3: 0.5104, bleu4: 0.3126, bleu5: 0.1969
adv_step: 400, nll_gen: 0.7385, bleu2: 0.7664, bleu3: 0.5300, bleu4: 0.3283, bleu5: 0.2066
adv_step: 420, nll_gen: 0.7392, bleu2: 0.7804, bleu3: 0.5643, bleu4: 0.3623, bleu5: 0.2237
adv_step: 440, nll_gen: 0.7397, bleu2: 0.7685, bleu3: 0.5420, bleu4: 0.3457, bleu5: 0.2164
adv_step: 460, nll_gen: 0.7402, bleu2: 0.7878, bleu3: 0.5728, bleu4: 0.3651, bleu5: 0.2295
adv_step: 480, nll_gen: 0.7405, bleu2: 0.7609, bleu3: 0.5473, bleu4: 0.3518, bleu5: 0.2198
adv_step: 500, nll_gen: 0.7410, bleu2: 0.8043, bleu3: 0.5855, bleu4: 0.3753, bleu5: 0.2340
adv_step: 520, nll_gen: 0.7415, bleu2: 0.7533, bleu3: 0.5369, bleu4: 0.3399, bleu5: 0.2066
adv_step: 540, nll_gen: 0.7417, bleu2: 0.8013, bleu3: 0.5860, bleu4: 0.3883, bleu5: 0.2462
adv_step: 560, nll_gen: 0.7419, bleu2: 0.7877, bleu3: 0.5713, bleu4: 0.3785, bleu5: 0.2433
adv_step: 580, nll_gen: 0.7422, bleu2: 0.7648, bleu3: 0.5447, bleu4: 0.3486, bleu5: 0.2204
adv_step: 600, nll_gen: 0.7424, bleu2: 0.7798, bleu3: 0.5582, bleu4: 0.3619, bleu5: 0.2265
adv_step: 620, nll_gen: 0.7425, bleu2: 0.7747, bleu3: 0.5533, bleu4: 0.3603, bleu5: 0.2266
adv_step: 640, nll_gen: 0.7425, bleu2: 0.7922, bleu3: 0.5852, bleu4: 0.3886, bleu5: 0.2452
adv_step: 660, nll_gen: 0.7426, bleu2: 0.7974, bleu3: 0.5883, bleu4: 0.3810, bleu5: 0.2458
adv_step: 680, nll_gen: 0.7425, bleu2: 0.7705, bleu3: 0.5589, bleu4: 0.3647, bleu5: 0.2271
adv_step: 700, nll_gen: 0.7422, bleu2: 0.7559, bleu3: 0.5293, bleu4: 0.3294, bleu5: 0.2096
