pre_gen_epoch:0, g_pre_loss: 2.2554, nll_gen: 1.5201, bleu2: 0.4224, bleu3: 0.1777, bleu4: 0.0929, bleu5: 0.0655
pre_gen_epoch:10, g_pre_loss: 1.0182, nll_gen: 0.9880, bleu2: 0.6969, bleu3: 0.4316, bleu4: 0.2388, bleu5: 0.1439
pre_gen_epoch:20, g_pre_loss: 0.8778, nll_gen: 0.8598, bleu2: 0.7163, bleu3: 0.4739, bleu4: 0.2881, bleu5: 0.1734
pre_gen_epoch:30, g_pre_loss: 0.8165, nll_gen: 0.8101, bleu2: 0.7232, bleu3: 0.4860, bleu4: 0.2954, bleu5: 0.1847
pre_gen_epoch:40, g_pre_loss: 0.7837, nll_gen: 0.7863, bleu2: 0.7307, bleu3: 0.4743, bleu4: 0.2866, bleu5: 0.1801
pre_gen_epoch:50, g_pre_loss: 0.7640, nll_gen: 0.7722, bleu2: 0.7190, bleu3: 0.4684, bleu4: 0.2805, bleu5: 0.1743
pre_gen_epoch:60, g_pre_loss: 0.7518, nll_gen: 0.7586, bleu2: 0.7393, bleu3: 0.5093, bleu4: 0.3264, bleu5: 0.2016
pre_gen_epoch:70, g_pre_loss: 0.7403, nll_gen: 0.7516, bleu2: 0.7179, bleu3: 0.4794, bleu4: 0.2915, bleu5: 0.1751
pre_gen_epoch:80, g_pre_loss: 0.7343, nll_gen: 0.7457, bleu2: 0.7264, bleu3: 0.4819, bleu4: 0.3009, bleu5: 0.1929
pre_gen_epoch:90, g_pre_loss: 0.7300, nll_gen: 0.7414, bleu2: 0.7236, bleu3: 0.4969, bleu4: 0.3127, bleu5: 0.1906
pre_gen_epoch:100, g_pre_loss: 0.7232, nll_gen: 0.7367, bleu2: 0.7184, bleu3: 0.4799, bleu4: 0.2958, bleu5: 0.1857
pre_gen_epoch:110, g_pre_loss: 0.7196, nll_gen: 0.7383, bleu2: 0.7372, bleu3: 0.4936, bleu4: 0.2977, bleu5: 0.1831
pre_gen_epoch:120, g_pre_loss: 0.7181, nll_gen: 0.7378, bleu2: 0.7392, bleu3: 0.5115, bleu4: 0.3164, bleu5: 0.1934
pre_gen_epoch:130, g_pre_loss: 0.7145, nll_gen: 0.7258, bleu2: 0.7263, bleu3: 0.5083, bleu4: 0.3154, bleu5: 0.1950
pre_gen_epoch:140, g_pre_loss: 0.7084, nll_gen: 0.7252, bleu2: 0.7317, bleu3: 0.4912, bleu4: 0.3115, bleu5: 0.1977
adv_step: 0, nll_gen: 0.7183, bleu2: 0.7355, bleu3: 0.4940, bleu4: 0.3011, bleu5: 0.1879
adv_step: 20, nll_gen: 0.7183, bleu2: 0.7153, bleu3: 0.4869, bleu4: 0.3009, bleu5: 0.1792
adv_step: 40, nll_gen: 0.7184, bleu2: 0.7336, bleu3: 0.5089, bleu4: 0.3254, bleu5: 0.2033
adv_step: 60, nll_gen: 0.7185, bleu2: 0.7326, bleu3: 0.5062, bleu4: 0.3168, bleu5: 0.1923
adv_step: 80, nll_gen: 0.7188, bleu2: 0.7479, bleu3: 0.5091, bleu4: 0.3099, bleu5: 0.1965
adv_step: 100, nll_gen: 0.7192, bleu2: 0.7559, bleu3: 0.5300, bleu4: 0.3319, bleu5: 0.2130
adv_step: 120, nll_gen: 0.7197, bleu2: 0.7509, bleu3: 0.5100, bleu4: 0.3146, bleu5: 0.1938
adv_step: 140, nll_gen: 0.7203, bleu2: 0.7433, bleu3: 0.5201, bleu4: 0.3266, bleu5: 0.2056
adv_step: 160, nll_gen: 0.7209, bleu2: 0.7541, bleu3: 0.5338, bleu4: 0.3355, bleu5: 0.2059
adv_step: 180, nll_gen: 0.7217, bleu2: 0.7647, bleu3: 0.5350, bleu4: 0.3467, bleu5: 0.2223
adv_step: 200, nll_gen: 0.7224, bleu2: 0.7486, bleu3: 0.5270, bleu4: 0.3279, bleu5: 0.2113
adv_step: 220, nll_gen: 0.7231, bleu2: 0.7489, bleu3: 0.5274, bleu4: 0.3438, bleu5: 0.2158
adv_step: 240, nll_gen: 0.7239, bleu2: 0.7563, bleu3: 0.5265, bleu4: 0.3245, bleu5: 0.2040
adv_step: 260, nll_gen: 0.7247, bleu2: 0.7679, bleu3: 0.5556, bleu4: 0.3630, bleu5: 0.2331
adv_step: 280, nll_gen: 0.7255, bleu2: 0.7726, bleu3: 0.5581, bleu4: 0.3509, bleu5: 0.2172
adv_step: 300, nll_gen: 0.7264, bleu2: 0.7697, bleu3: 0.5423, bleu4: 0.3427, bleu5: 0.2197
adv_step: 320, nll_gen: 0.7271, bleu2: 0.7650, bleu3: 0.5467, bleu4: 0.3509, bleu5: 0.2182
adv_step: 340, nll_gen: 0.7277, bleu2: 0.7585, bleu3: 0.5315, bleu4: 0.3361, bleu5: 0.2108
adv_step: 360, nll_gen: 0.7283, bleu2: 0.7636, bleu3: 0.5529, bleu4: 0.3659, bleu5: 0.2295
adv_step: 380, nll_gen: 0.7288, bleu2: 0.7533, bleu3: 0.5292, bleu4: 0.3157, bleu5: 0.1903
adv_step: 400, nll_gen: 0.7293, bleu2: 0.7648, bleu3: 0.5432, bleu4: 0.3474, bleu5: 0.2230
