epochs, g_loss, nll-test,
1,-1.0,1.526837,
11,-1.0,0.962112,
21,-1.0,0.8509799,
31,-1.0,0.81094813,
41,-1.0,0.7888921,
51,-1.0,0.7765368,
61,-1.0,0.7629957,
71,-1.0,0.7576476,
81,-1.0,0.75273925,
91,-1.0,0.7440433,
101,-1.0,0.7426927,
111,-1.0,0.7354033,
121,-1.0,0.72788393,
131,-1.0,0.7286835,
141,-1.0,0.72925687,
epochs, g_loss, nll-test,
151,451.97635,0.7245954,
171,420.69836,0.7976787,
191,550.0368,0.86802965,
211,492.6525,0.91740066,
231,331.32864,0.95152813,
251,222.59254,0.957088,
271,251.8469,0.9792326,
291,521.8521,1.0191017,
311,145.89369,1.0373954,
331,171.57109,1.0596058,
351,20.652805,1.0748284,
371,132.39001,1.0988744,
391,51.39202,1.0937504,
411,56.37751,1.0916151,
431,83.37239,1.0971594,
451,28.331692,1.1206777,
471,48.628098,1.1187247,
491,81.58057,1.1203101,
511,78.10023,1.1336658,
531,43.123447,1.1562457,
551,12.457279,1.1790125,
571,36.105988,1.1842182,
591,22.83766,1.2076062,
611,4.5288324,1.2338226,
631,20.483906,1.2349594,
651,15.202511,1.2537793,
671,11.096336,1.261128,
691,21.4105,1.2907652,
711,6.471003,1.2985458,
731,4.0923944,1.2960943,
751,4.4561586,1.3152415,
771,8.815357,1.3280913,
791,3.837166,1.332984,
811,24.87447,1.3431324,
831,26.272243,1.3563616,
851,18.65303,1.3730856,
871,8.39553,1.3632818,
891,3.8113804,1.3528092,
911,2.762497,1.3493563,
931,9.499082,1.3577249,
951,6.8308954,1.3897605,
971,27.638588,1.4198251,
991,9.8495,1.46152,
1011,6.2535095,1.4517496,
1031,23.609066,1.4650549,
1051,8.023937,1.5011164,
1071,12.3543005,1.5281132,
1091,7.989895,1.5066984,
1111,7.73516,1.4949613,
1131,1.4630427,1.4938955,
1150,11.594724,1.4921577,
