0,1,experiment-log-rmcgan (2),experiment-log-rmcgan (3),experiment-log-rmcgan (4)
0,1.5836,1.529,1.5437,1.5181
10,0.9791,0.95,0.9614,0.9591
20,0.85,0.8365,0.8494,0.8521
30,0.8066,0.7926,0.8055,0.806
40,0.7828,0.7712,0.7793,0.7811
50,0.7652,0.763,0.7664,0.7667
60,0.7517,0.7482,0.7533,0.7563
70,0.7428,0.7414,0.7467,0.7512
80,0.7369,0.7348,0.7409,0.7495
90,0.73,0.7265,0.737,0.7438
100,0.7274,0.7211,0.7363,0.7408
110,0.723,0.7176,0.7292,0.7362
120,0.7174,0.7167,0.7285,0.7323
130,0.7173,0.7142,0.7234,0.7312
140,0.7154,0.7147,0.72,0.7298
0,0.7161,0.7136,0.7159,0.7259
20,0.716,0.7138,0.7157,0.7258
40,0.7157,0.7139,0.7158,0.7255
60,0.7157,0.7141,0.7163,0.7253
80,0.7157,0.7147,0.717,0.7253
100,0.716,0.7154,0.7173,0.7255
120,0.7164,0.7161,0.7178,0.726
140,0.7171,0.7169,0.7183,0.7265
160,0.7178,0.7176,0.7188,0.7272
180,0.7185,0.7185,0.7196,0.7279
200,0.7192,0.7193,0.7205,0.7287
220,0.72,0.7202,0.7214,0.7296
240,0.7207,0.721,0.7222,0.7305
260,0.7214,0.722,0.7229,0.7317
280,0.7221,0.7227,0.7239,0.7327
300,0.7229,0.7235,0.7246,0.7337
320,0.7237,0.7241,0.7254,0.7347
340,0.7243,0.7245,0.7261,0.7358
360,0.7248,0.7251,0.7269,0.737
380,0.7254,0.7256,0.7276,0.7379
400,0.7261,0.7263,0.7284,0.7385
420,0.7266,0.7269,0.7293,0.7392
440,0.7273,0.7275,0.7299,0.7397
460,0.728,0.7278,0.7303,0.7402
480,0.7285,0.7278,0.7308,0.7405
500,0.7288,0.7281,0.7311,0.741
520,0.7288,0.7284,0.7315,0.7415
540,0.729,0.7288,0.7315,0.7417
560,0.7291,0.7292,0.7314,0.7419
580,0.7292,0.7296,0.7314,0.7422
600,0.7293,0.7294,0.7312,0.7424
620,0.7292,0.7293,0.7309,0.7425
640,0.7291,0.7289,0.7308,0.7425
660,0.7289,0.7288,0.7305,0.7426
680,0.7286,0.7288,0.7304,0.7425
700,0.7282,0.7287,0.7303,0.7422
720,0.728,0.7288,0.7305,0.742
740,0.7277,0.7288,0.7302,0.7421
760,0.7274,0.7284,0.7299,0.742
780,0.7271,0.7282,0.7297,0.7419
800,0.727,0.7276,0.7295,0.7416
820,0.7268,0.7272,0.729,0.7415
840,0.7265,0.727,0.7285,0.7414
860,0.7262,0.7268,0.7282,0.7409
880,0.7262,0.7263,0.7278,0.7406
900,0.7257,0.7258,0.7273,0.7403
920,0.7253,0.7257,0.727,0.7401
940,0.7249,0.7257,0.7266,0.7397
960,0.7245,0.725,0.7263,0.739
980,0.7244,0.7248,0.726,0.7382
1000,0.7241,0.7249,0.7257,0.7378
1020,0.7238,0.7248,0.7253,0.7376
1040,0.7238,0.7244,0.7252,0.737
1060,0.7237,0.7242,0.725,0.7369
1080,0.7235,0.7241,0.7246,0.7367
1100,0.7234,0.7241,0.7244,0.7362
1120,0.7234,0.7237,0.7242,0.7361
1140,0.7234,0.7235,0.724,0.736
1160,0.7234,0.7235,0.7238,0.7358
1180,0.723,0.7232,0.7236,0.7357
1200,0.7229,0.7229,0.7232,0.7353
1220,0.7228,0.7224,0.723,0.735
1240,0.7228,0.722,0.7228,0.7348
1260,0.7228,0.7217,0.7228,0.7347
1280,0.7226,0.7213,0.7228,0.7344
1300,0.7225,0.7211,0.7226,0.7341
1320,0.7225,0.721,0.7225,0.734
1340,0.7225,0.7211,0.7225,0.7338
1360,0.7226,0.7212,0.7226,0.7336
1380,0.7225,0.7213,0.7226,0.7336
1400,0.7225,0.7211,0.7228,0.7335
1420,0.7226,0.721,0.7228,0.7335
1440,0.7226,0.7209,0.7228,0.7334
1460,0.7225,0.7211,0.7229,0.7334
1480,0.7224,0.7209,0.7231,0.7335
1500,0.7223,0.721,0.7232,0.7337
1520,0.7225,0.721,0.7232,0.7336
1540,0.7226,0.7208,0.7233,0.7335
1560,0.7226,0.7206,0.7234,0.7334
1580,0.7227,0.7207,0.7235,0.7331
1600,0.7228,0.7207,0.7237,0.7329
1620,0.7229,0.7205,0.7239,0.733
1640,0.7229,0.7204,0.724,0.733
1660,0.723,0.7205,0.7242,0.733
1680,0.7232,0.7206,0.7244,0.733
1700,0.7232,0.7205,0.7244,0.733
1720,0.7235,0.7205,0.7244,0.733
1740,0.7237,0.7206,0.7247,0.7329
1760,0.7237,0.7206,0.7248,0.7331
1780,0.7238,0.7207,0.7248,0.7334
1800,0.7238,0.7207,0.7248,0.7334
1820,0.7241,0.7208,0.7248,0.7337
1840,0.7243,0.7209,0.7248,0.7339
1860,0.7243,0.7209,0.725,0.734
1880,0.7246,0.7208,0.7252,0.7343
1900,0.7249,0.7207,0.7253,0.7347
1920,0.7252,0.7208,0.7254,0.7349
1940,0.7255,0.7208,0.7257,0.7351
1960,0.7258,0.7206,0.726,0.735
1980,0.7261,0.7206,0.7263,0.735
