0,1,experiment-log-rmcgan (2),experiment-log-rmcgan (4),experiment-log-rmcgan (5)
pre_gen_epoch:0   ,1.541,1.5311,1.5201,1.5675
pre_gen_epoch:10  ,0.9593,0.9522,0.988,0.9566
pre_gen_epoch:20  ,0.8448,0.8402,0.8598,0.833
pre_gen_epoch:30  ,0.8029,0.8012,0.8101,0.7857
pre_gen_epoch:40  ,0.7847,0.7775,0.7863,0.7647
pre_gen_epoch:50  ,0.7831,0.7653,0.7722,0.7453
pre_gen_epoch:60  ,0.758,0.7532,0.7586,0.7358
pre_gen_epoch:70  ,0.7466,0.7489,0.7516,0.728
pre_gen_epoch:80  ,0.7428,0.7366,0.7457,0.7264
pre_gen_epoch:90  ,0.732,0.73,0.7414,0.7202
pre_gen_epoch:100 ,0.7306,0.7253,0.7367,0.7132
pre_gen_epoch:110 ,0.7251,0.7236,0.7383,0.7116
pre_gen_epoch:120 ,0.7236,0.7191,0.7378,0.7064
pre_gen_epoch:130 ,0.7179,0.7153,0.7258,0.7059
pre_gen_epoch:140 ,0.7207,0.7169,0.7252,0.7052
adv_step: 0       ,0.7197,0.7128,0.7183,0.7036
adv_step: 20      ,0.7196,0.7128,0.7183,0.7037
adv_step: 40      ,0.7197,0.713,0.7184,0.7035
adv_step: 60      ,0.72,0.7135,0.7185,0.7036
adv_step: 80      ,0.7203,0.7136,0.7188,0.704
adv_step: 100     ,0.7207,0.7137,0.7192,0.7043
adv_step: 120     ,0.7212,0.7138,0.7197,0.7049
adv_step: 140     ,0.7218,0.7143,0.7203,0.7056
adv_step: 160     ,0.7225,0.7148,0.7209,0.7063
adv_step: 180     ,0.7233,0.7153,0.7217,0.7068
adv_step: 200     ,0.724,0.716,0.7224,0.7075
adv_step: 220     ,0.7249,0.7167,0.7231,0.7082
adv_step: 240     ,0.726,0.7178,0.7239,0.709
adv_step: 260     ,0.7269,0.7187,0.7247,0.7096
adv_step: 280     ,0.7276,0.7198,0.7255,0.7103
adv_step: 300     ,0.7285,0.7207,0.7264,0.7109
adv_step: 320     ,0.7297,0.7214,0.7271,0.7115
adv_step: 340     ,0.7305,0.7222,0.7277,0.712
adv_step: 360     ,0.7315,0.7234,0.7283,0.7125
adv_step: 380     ,0.7326,0.7247,0.7288,0.713
