0,Pure-RL,experiment-log-rmcgan (2),experiment-log-rmcgan (3),experiment-log-rmcgan (4),experiment-log-rmcgan (5),experiment-log-rmcgan (6),experiment-log-rmcgan (7),experiment-log-rmcgan (8),Pure-RL,,,GAN-LSTM,experiment-log-rmcgan (2),experiment-log-rmcgan (4),experiment-log-rmcgan (5),GAN-LSTM,,,Opti-GAN (Ours),experiment-log-rmcgan (2),experiment-log-rmcgan (3),experiment-log-rmcgan (4),Opti-GAN (Ours),,,SeqGAN,experiment-log-seqgan-real (2),experiment-log-seqgan-real (3),experiment-log-seqgan-real (4),SeqGAN
0,1.5752,1.4949,1.4862,1.5638,1.5312,1.5637,1.5207,1.5201,1.531975,,,1.541,1.5311,1.5201,1.5675,1.539925,,,1.5836,1.529,1.5437,1.5181,1.5436,,,1.5165421,1.5299021,1.5817504,1.526837,1.5387579
10,0.9921,0.9591,0.953,0.9512,0.9489,0.9615,0.965,0.9574,0.961025,,,0.9593,0.9522,0.988,0.9566,0.964025,,,0.9791,0.95,0.9614,0.9591,0.9624,,,0.9699294,0.9592692,0.96613353,0.962112,0.964361032
20,0.8682,0.8426,0.8352,0.8389,0.8376,0.8402,0.8437,0.8432,0.8437,,,0.8448,0.8402,0.8598,0.833,0.84445,,,0.85,0.8365,0.8494,0.8521,0.847,,,0.8586035,0.83382946,0.842748,0.8509799,0.846540215
30,0.8155,0.8005,0.7901,0.7941,0.7987,0.8012,0.7973,0.8028,0.800025,,,0.8029,0.8012,0.8101,0.7857,0.799975,,,0.8066,0.7926,0.8055,0.806,0.802675,,,0.8150053,0.7913834,0.794962,0.81094813,0.803074708
40,0.7915,0.7793,0.7719,0.774,0.7844,0.7747,0.7742,0.7826,0.779075,,,0.7847,0.7775,0.7863,0.7647,0.7783,,,0.7828,0.7712,0.7793,0.7811,0.7786,,,0.79363513,0.7713971,0.7758121,0.7888921,0.782434108
50,0.7764,0.7598,0.758,0.7628,0.7636,0.7615,0.7591,0.7713,0.7640625,,,0.7831,0.7653,0.7722,0.7453,0.766475,,,0.7652,0.763,0.7664,0.7667,0.765325,,,0.7775406,0.75440824,0.7659788,0.7765368,0.76861611
60,0.7677,0.7564,0.7471,0.7544,0.7533,0.7513,0.7461,0.763,0.7549125,,,0.758,0.7532,0.7586,0.7358,0.7514,,,0.7517,0.7482,0.7533,0.7563,0.752375,,,0.76909006,0.7508549,0.75219375,0.7629957,0.758783603
70,0.7569,0.7466,0.7391,0.7478,0.7487,0.7418,0.7422,0.7522,0.7469125,,,0.7466,0.7489,0.7516,0.728,0.743775,,,0.7428,0.7414,0.7467,0.7512,0.745525,,,0.75832653,0.7403895,0.7393004,0.7576476,0.748916008
80,0.7499,0.7367,0.7293,0.7417,0.7425,0.7387,0.7335,0.7397,0.739,,,0.7428,0.7366,0.7457,0.7264,0.737875,,,0.7369,0.7348,0.7409,0.7495,0.740525,,,0.7516399,0.73168576,0.7347139,0.75273925,0.742694703
90,0.7483,0.7347,0.7244,0.7416,0.7357,0.734,0.7289,0.7345,0.7352625,,,0.732,0.73,0.7414,0.7202,0.7309,,,0.73,0.7265,0.737,0.7438,0.734325,,,0.744915,0.7224812,0.72789264,0.7440433,0.734833035
100,0.7444,0.7255,0.7211,0.7435,0.7308,0.7294,0.7251,0.7292,0.731125,,,0.7306,0.7253,0.7367,0.7132,0.72645,,,0.7274,0.7211,0.7363,0.7408,0.7314,,,0.73731524,0.719595,0.725062,0.7426927,0.731166235
110,0.7409,0.7254,0.7159,0.7312,0.725,0.7278,0.7172,0.7233,0.7258375,,,0.7251,0.7236,0.7383,0.7116,0.72465,,,0.723,0.7176,0.7292,0.7362,0.7265,,,0.7340677,0.71421003,0.72321486,0.7354033,0.726723973
120,0.7444,0.7223,0.7114,0.7281,0.7224,0.7252,0.7165,0.7221,0.72405,,,0.7236,0.7191,0.7378,0.7064,0.721725,,,0.7174,0.7167,0.7285,0.7323,0.723725,,,0.7364854,0.711734,0.7169452,0.72788393,0.723262133
