0,1,experiment-log-seqgan-real (2),experiment-log-seqgan-real (3),experiment-log-seqgan-real (4)
1,1.5165421000000001,1.5299021000000002,1.5817504,1.526837
11,0.9699293999999999,0.9592691999999999,0.96613353,0.9621120000000001
21,0.8586035,0.83382946,0.8427479999999999,0.8509799000000001
31,0.8150053,0.7913834,0.794962,0.81094813
41,0.79363513,0.7713971,0.7758121,0.7888921
51,0.7775406,0.75440824,0.7659788000000001,0.7765368
61,0.76909006,0.7508549,0.75219375,0.7629956999999999
71,0.75832653,0.7403895,0.7393004,0.7576476
81,0.7516399,0.73168576,0.7347139,0.75273925
91,0.744915,0.7224811999999999,0.72789264,0.7440433000000001
101,0.73731524,0.719595,0.725062,0.7426927
111,0.7340677,0.71421003,0.72321486,0.7354033
121,0.7364854000000001,0.711734,0.7169452,0.72788393
131,0.7313076000000001,0.7074581999999999,0.7150821999999999,0.7286835
141,0.7269199000000001,0.70495945,0.713486,0.72925687
151,0.7349397,0.7080502,0.7185695,0.7245954000000001
171,0.80707806,0.77826935,0.7971529,0.7976787
191,0.8558789000000001,0.81231487,0.8578150999999999,0.86802965
211,0.89251417,0.84951115,0.87806475,0.91740066
231,0.94019943,0.8825699,0.9053165999999999,0.95152813
251,1.005787,0.8955832,0.9374198,0.9570879999999999
271,0.9926784,0.9146768,0.96490586,0.9792325999999999
291,1.0082465,0.93200153,0.9841816999999999,1.0191017
311,1.0254259000000001,0.9636725,1.0276334999999999,1.0373954
331,1.0292448,1.0724411,1.0412028,1.0596058000000002
351,1.0680392,1.0797232,1.0896982,1.0748284
371,1.1338682,1.0903846000000001,1.0914533000000002,1.0988744
391,1.1745371,1.1042562,1.0999518999999998,1.0937503999999998
411,1.2039713,1.0461711,1.1015365,1.0916151
431,1.1577046999999998,1.0535296,1.0794531,1.0971594
451,1.1583331000000001,1.0730883,1.094063,1.1206777
471,1.1697448000000001,1.0621791,1.0930222,1.1187247
491,1.1729853000000001,1.0894961,1.1047702,1.1203101
511,1.1792935,1.1154462,1.1313833,1.1336658000000002
531,1.2070531,1.1114576,1.1482803,1.1562457
551,1.2024816999999999,1.1174856000000002,1.1759198999999998,1.1790125
571,1.2340043,1.1324159,1.1751988000000002,1.1842181999999999
591,1.2513504,1.1422056,1.1618422,1.2076062
611,1.2444063,1.1348281999999998,1.1570994,1.2338226
631,1.2610803999999998,1.1623048,1.1717132,1.2349594
651,1.2930881,1.1865036,1.18937,1.2537793
671,1.3194385,1.1789111,1.2096883999999999,1.261128
691,1.3126191,1.1751406999999998,1.2156367000000001,1.2907652
711,1.3276651000000002,1.2013768,1.2340149999999999,1.2985458
731,1.3346069999999999,1.1973825,1.2453614,1.2960943
751,1.3441416000000002,1.1845576,1.2605993999999998,1.3152415000000002
771,1.3579956,1.2016453999999999,1.2711153999999998,1.3280913
791,1.3378447,1.2290035,1.2760556,1.332984
811,1.3229011999999998,1.237308,1.2784726999999998,1.3431323999999998
831,1.3482249,1.240306,1.2842268000000001,1.3563616000000003
851,1.3633773,1.2433301,1.2857456,1.3730856000000002
871,1.3525956000000001,1.2608579,1.2797973999999999,1.3632818000000002
891,1.3616734,1.2640178999999998,1.2717184,1.3528091999999998
911,1.3520861000000002,1.2579154,1.2818966,1.3493563
931,1.3862653,1.2683309,1.2916172,1.3577249
951,1.3950616000000002,1.2788082,1.2838846000000002,1.3897605
971,1.3963958,1.2974044,1.2903986,1.4198251
991,1.3913809,1.2963783000000002,1.3028773999999999,1.4615200000000002
1011,1.3997517,1.2894793,1.3210328000000002,1.4517496
1031,1.410444,1.2880688,1.3468156999999998,1.4650549
1051,1.3923708000000001,1.2904105,1.3810693,1.5011164
1071,1.4255233,1.284728,1.3927969,1.5281132
1091,1.4419013999999999,1.29721,1.3991016,1.5066983999999999
1111,1.4410969999999999,1.2865072,1.4141299999999999,1.4949613000000002
1131,1.4309378000000001,1.3073273,1.4370745,1.4938955
1150,1.431251,1.3251712,1.4228048,1.4921577
