epoch, nll_gen, bleu2, bleu3, bleu4, bleu5
0,1.6008,0.3522,0.1319,0.0722,0.0529
10,0.9932,0.7175,0.4669,0.2754,0.1673
20,0.8688,0.715,0.4775,0.2911,0.1757
30,0.819,0.73,0.5002,0.3042,0.1919
40,0.7923,0.7472,0.5242,0.3437,0.2209
50,0.7791,0.7251,0.4923,0.3124,0.1937
60,0.7686,0.7152,0.4798,0.2998,0.1867
70,0.7565,0.7282,0.4956,0.3039,0.1912
80,0.7507,0.7456,0.5103,0.3063,0.1922
90,0.7396,0.7283,0.4912,0.3097,0.1942
100,0.7383,0.7461,0.5042,0.3074,0.1904
110,0.7378,0.7419,0.5032,0.2924,0.1763
120,0.7359,0.7423,0.5216,0.3249,0.2016
130,0.7302,0.7409,0.5139,0.3285,0.2046
140,0.7281,0.738,0.5017,0.32,0.1991
0,0.7323,0.7311,0.5022,0.3094,0.1897
20,0.7314,0.7253,0.5002,0.2999,0.1837
40,0.7307,0.7296,0.5027,0.3259,0.207
60,0.7304,0.7499,0.528,0.3347,0.2173
80,0.7303,0.7353,0.4995,0.3073,0.1897
100,0.7303,0.7341,0.5024,0.3033,0.1858
120,0.7306,0.7461,0.5355,0.3347,0.2075
140,0.7308,0.7464,0.5027,0.298,0.1848
160,0.7313,0.7504,0.5195,0.3234,0.1964
180,0.7319,0.7513,0.5227,0.3278,0.2045
200,0.7325,0.7513,0.5322,0.3331,0.2026
220,0.7332,0.7465,0.5162,0.3375,0.2164
240,0.7338,0.7614,0.5326,0.3415,0.2151
260,0.7345,0.7697,0.5486,0.349,0.2113
280,0.7351,0.738,0.5132,0.3252,0.2074
300,0.7359,0.7681,0.5454,0.3442,0.2103
320,0.7366,0.7639,0.5341,0.3399,0.2121
340,0.7371,0.7609,0.5367,0.3326,0.2048
360,0.7376,0.7743,0.5525,0.3425,0.2108
380,0.7381,0.7526,0.5286,0.329,0.2026
400,0.7384,0.7763,0.5554,0.3494,0.2198
420,0.7389,0.7685,0.5314,0.3281,0.2072
440,0.7393,0.7612,0.545,0.3535,0.2166
460,0.7397,0.7571,0.5508,0.3463,0.21
480,0.7401,0.7651,0.5369,0.3418,0.2079
500,0.7406,0.7575,0.5423,0.3459,0.2216
520,0.7407,0.7707,0.5467,0.3367,0.2056
540,0.7406,0.7622,0.5363,0.3398,0.2074
560,0.7407,0.7641,0.5413,0.3511,0.2238
580,0.7406,0.7615,0.532,0.3398,0.2159
600,0.7406,0.7679,0.5473,0.3471,0.2197
620,0.7403,0.7586,0.5261,0.3342,0.2075
640,0.74,0.7796,0.5742,0.3751,0.2374
660,0.7398,0.7673,0.5482,0.3513,0.2238
680,0.7396,0.7591,0.5489,0.3565,0.2241
700,0.7394,0.7678,0.5394,0.3465,0.2214
720,0.7392,0.7721,0.5481,0.3451,0.2184
740,0.7389,0.7907,0.5703,0.3707,0.2314
760,0.7388,0.769,0.5555,0.3647,0.23
780,0.7386,0.779,0.5646,0.3536,0.2105
800,0.7385,0.7682,0.5327,0.3322,0.2087
820,0.7381,0.7722,0.5615,0.3639,0.2196
840,0.7376,0.7827,0.5726,0.3625,0.2212
860,0.7372,0.7895,0.5819,0.3742,0.227
880,0.7371,0.762,0.5384,0.3364,0.2082
900,0.7369,0.7494,0.5217,0.3211,0.2008
920,0.7367,0.7581,0.5439,0.355,0.2241
940,0.7363,0.7626,0.5438,0.3607,0.2295
960,0.7359,0.7577,0.5425,0.349,0.2229
980,0.7357,0.769,0.5405,0.3492,0.22
1000,0.7355,0.7708,0.5529,0.3501,0.2256
1020,0.7354,0.7918,0.579,0.374,0.2345
1040,0.7353,0.7529,0.5267,0.327,0.2076
1060,0.7351,0.7806,0.557,0.3514,0.2176
1080,0.7351,0.7462,0.5068,0.3111,0.1986
1100,0.7351,0.7687,0.5507,0.3538,0.2254
1120,0.735,0.7684,0.5562,0.3607,0.222
1140,0.7351,0.7667,0.5547,0.3734,0.2399
1160,0.735,0.7719,0.5501,0.3524,0.2233
1180,0.735,0.7708,0.5543,0.358,0.2292
1200,0.7349,0.7612,0.5475,0.3611,0.229
1220,0.7347,0.7606,0.5387,0.3475,0.2177
1240,0.7347,0.7715,0.5473,0.3517,0.2243
1260,0.7347,0.7849,0.5711,0.3777,0.244
1280,0.7346,0.7583,0.5382,0.3464,0.2185
1300,0.7344,0.774,0.5675,0.3837,0.2507
1320,0.7343,0.7677,0.5544,0.3615,0.2294
1340,0.7344,0.773,0.5518,0.3459,0.2128
1360,0.7343,0.7539,0.5315,0.3237,0.2024
1380,0.734,0.76,0.5388,0.3483,0.2226
1400,0.7341,0.7812,0.561,0.3552,0.2264
1420,0.7341,0.758,0.5426,0.3423,0.2174
1440,0.7341,0.7341,0.505,0.3125,0.1986
1460,0.7341,0.7725,0.5631,0.3705,0.2289
1480,0.734,0.7577,0.5431,0.3413,0.2158
1500,0.734,0.7506,0.5209,0.3178,0.2013
1520,0.7341,0.7717,0.5334,0.3406,0.218
1540,0.7342,0.7508,0.5302,0.3448,0.2268
1560,0.7342,0.7614,0.5312,0.33,0.2132
1580,0.7342,0.7672,0.5503,0.3471,0.2183
1600,0.7343,0.7473,0.5268,0.3208,0.1984
1620,0.7344,0.7679,0.5423,0.3435,0.2136
1640,0.7345,0.7608,0.5299,0.3356,0.2125
1660,0.7344,0.7456,0.5103,0.3186,0.201
1680,0.7343,0.7442,0.5216,0.3248,0.2044
1700,0.7344,0.77,0.5675,0.3701,0.2361
1720,0.7345,0.7518,0.526,0.3284,0.2058
1740,0.7344,0.7818,0.5738,0.3665,0.2281
1760,0.7344,0.756,0.538,0.3519,0.2258
1780,0.7343,0.7634,0.5341,0.3284,0.2122
1800,0.7344,0.7625,0.5499,0.3672,0.2343
1820,0.7345,0.7658,0.5358,0.3449,0.2206
1840,0.7346,0.7732,0.5682,0.369,0.2341
1860,0.7347,0.7562,0.5381,0.3337,0.2047
1880,0.7347,0.7473,0.5254,0.3337,0.2101
1900,0.7348,0.7645,0.5282,0.3326,0.2105
1920,0.7347,0.7614,0.5426,0.3554,0.2229
1940,0.7347,0.7573,0.5264,0.3317,0.2095
1960,0.7346,0.7628,0.5366,0.3496,0.2261
1980,0.7346,0.7494,0.5152,0.323,0.2062
