0,1,experiment-log-rmcgan (2),experiment-log-rmcgan (4),experiment-log-rmcgan (5)
pre_gen_epoch:0   ,3.4565,3.4321,3.4043,3.3938
pre_gen_epoch:10  ,2.4816,2.4752,2.4839,2.465
pre_gen_epoch:20  ,2.342,2.3448,2.342,2.322
pre_gen_epoch:30  ,2.2837,2.2752,2.2944,2.2655
pre_gen_epoch:40  ,2.2594,2.25,2.257,2.2348
pre_gen_epoch:50  ,2.2358,2.2284,2.2424,2.2258
pre_gen_epoch:60  ,2.2217,2.2204,2.2301,2.2121
pre_gen_epoch:70  ,2.2052,2.1996,2.2278,2.2049
pre_gen_epoch:80  ,2.1976,2.194,2.2143,2.2001
pre_gen_epoch:90  ,2.1947,2.191,2.1988,2.189
pre_gen_epoch:100 ,2.186,2.1927,2.2005,2.1866
pre_gen_epoch:110 ,2.1826,2.1806,2.1952,2.1775
pre_gen_epoch:120 ,2.1796,2.1774,2.1876,2.1742
pre_gen_epoch:130 ,2.1721,2.1777,2.1869,2.17
pre_gen_epoch:140 ,2.1665,2.1706,2.1829,2.1708
adv_step: 0       ,2.1748,2.1702,2.1867,2.1578
adv_step: 20      ,2.1734,2.1706,2.1866,2.1577
adv_step: 40      ,2.1718,2.1714,2.1867,2.1579
adv_step: 60      ,2.1708,2.173,2.1875,2.1589
adv_step: 80      ,2.1705,2.1752,2.1893,2.1605
adv_step: 100     ,2.1708,2.1776,2.1913,2.1626
adv_step: 120     ,2.1716,2.1803,2.1937,2.1646
adv_step: 140     ,2.1726,2.1831,2.1961,2.1659
adv_step: 160     ,2.1741,2.1851,2.1979,2.1665
adv_step: 180     ,2.1755,2.1859,2.1996,2.1674
adv_step: 200     ,2.1768,2.1859,2.2007,2.1668
adv_step: 220     ,2.1783,2.1858,2.2008,2.1665
adv_step: 240     ,2.1798,2.1856,2.2007,2.1671
adv_step: 260     ,2.1813,2.1847,2.2003,2.1685
adv_step: 280     ,2.1834,2.1842,2.2,2.1709
adv_step: 300     ,2.1857,2.1849,2.2002,2.174
adv_step: 320     ,2.188,2.1867,2.2011,2.1772
adv_step: 340     ,2.1904,2.1896,2.2025,2.1823
adv_step: 360     ,2.1939,2.193,2.2047,2.1885
adv_step: 380     ,2.1974,2.1966,2.208,2.1943
adv_step: 400     ,2.2009,2.2006,2.2112,2.2009
adv_step: 420     ,2.2052,2.2047,2.2147,2.2077
adv_step: 440     ,2.2093,2.2092,2.2175,2.2145
adv_step: 460     ,2.2124,2.2134,2.2204,2.221
adv_step: 480     ,2.2171,2.2177,2.2236,2.2261
adv_step: 500     ,2.2207,2.2232,2.2265,2.2314
adv_step: 520     ,2.2237,2.2283,2.2302,2.2356
adv_step: 540     ,2.2263,2.2326,2.2338,2.2406
adv_step: 560     ,2.2298,2.2367,2.2368,2.2439
adv_step: 580     ,2.2322,2.2398,2.2392,2.2468
adv_step: 600     ,2.2342,2.2431,2.241,2.2488
adv_step: 620     ,2.2349,2.2456,2.2423,2.2497
adv_step: 640     ,2.2374,2.249,2.244,2.2511
adv_step: 660     ,2.2398,2.2503,2.2449,2.2516
adv_step: 680     ,2.2411,2.2507,2.2456,2.2516
adv_step: 700     ,2.2419,2.2513,2.2449,2.2498
adv_step: 720     ,2.2434,2.2509,2.2447,2.2485
adv_step: 740     ,2.2434,2.2493,2.2437,2.2472
adv_step: 760     ,2.2435,2.2468,2.2433,2.2459
adv_step: 780     ,2.2419,2.2439,2.2421,2.2439
adv_step: 800     ,2.2392,2.2409,2.2419,2.2404
adv_step: 820     ,2.238,2.2388,2.2411,2.2367
adv_step: 840     ,2.2376,2.2363,2.2399,2.2328
adv_step: 860     ,2.2376,2.2341,2.2377,2.2293
adv_step: 880     ,2.2362,2.2318,2.2371,2.2264
adv_step: 900     ,2.2332,2.228,2.2362,2.2209
adv_step: 920     ,2.2326,2.2255,2.2341,2.2162
adv_step: 940     ,2.2315,2.2233,2.2325,2.2111
adv_step: 960     ,2.2287,2.2216,2.2301,2.2064
adv_step: 980     ,2.2253,2.2186,2.2271,2.2024
adv_step: 1000    ,2.2223,2.2165,2.2246,2.199
adv_step: 1020    ,2.2204,2.2135,2.2224,2.1956
adv_step: 1040    ,2.2182,2.2108,2.2191,2.1925
adv_step: 1060    ,2.2168,2.2081,2.2178,2.1891
adv_step: 1080    ,2.2143,2.2042,2.2159,2.186
adv_step: 1100    ,2.2117,2.2029,2.2132,2.1833
adv_step: 1120    ,2.2105,2.2002,2.211,2.1803
adv_step: 1140    ,2.2092,2.1972,2.2086,2.1783
adv_step: 1160    ,2.208,2.1939,2.2067,2.1767
adv_step: 1180    ,2.2057,2.1922,2.2044,2.175
adv_step: 1200    ,2.2037,2.1908,2.2022,2.174
adv_step: 1220    ,2.2015,2.1893,2.2012,2.1723
adv_step: 1240    ,2.2003,2.1876,2.1999,2.1708
adv_step: 1260    ,2.1992,2.186,2.1987,2.17
adv_step: 1280    ,2.198,2.1847,2.1979,2.169
adv_step: 1300    ,2.1972,2.1832,2.1967,2.1675
adv_step: 1320    ,2.1964,2.1826,2.1958,2.1667
adv_step: 1340    ,2.1955,2.1816,2.1952,2.1657
adv_step: 1360    ,2.1949,2.1806,2.1946,2.1657
adv_step: 1380    ,2.1943,2.1798,2.1942,2.1651
adv_step: 1400    ,2.1936,2.1793,2.1939,2.1649
adv_step: 1420    ,2.1933,2.1789,2.1935,2.1645
adv_step: 1440    ,2.1923,2.178,2.1934,2.164
adv_step: 1460    ,2.1917,2.1772,2.1927,2.1639
