0,1,experiment-log-rmcgan (2),experiment-log-rmcgan (3),experiment-log-rmcgan (4)
pre_gen_epoch:0   ,3.4113,3.3743,3.4056,3.4466
pre_gen_epoch:10  ,2.4737,2.4507,2.4755,2.4902
pre_gen_epoch:20  ,2.3331,2.3186,2.3364,2.3488
pre_gen_epoch:30  ,2.2779,2.2736,2.277,2.2948
pre_gen_epoch:40  ,2.2547,2.2445,2.258,2.2626
pre_gen_epoch:50  ,2.2469,2.2231,2.2303,2.2474
pre_gen_epoch:60  ,2.2221,2.2082,2.2159,2.2363
pre_gen_epoch:70  ,2.2105,2.1963,2.2027,2.2305
pre_gen_epoch:80  ,2.2023,2.1879,2.2008,2.2261
pre_gen_epoch:90  ,2.1882,2.1839,2.1909,2.2144
pre_gen_epoch:100 ,2.1816,2.1773,2.1847,2.2073
pre_gen_epoch:110 ,2.1779,2.1717,2.1858,2.1976
pre_gen_epoch:120 ,2.1723,2.1691,2.175,2.1924
pre_gen_epoch:130 ,2.1652,2.1656,2.1746,2.1952
pre_gen_epoch:140 ,2.1628,2.1671,2.1741,2.1877
adv_step: 0       ,2.1633,2.159,2.1648,2.1841
adv_step: 20      ,2.1629,2.1592,2.1648,2.1842
adv_step: 40      ,2.163,2.1578,2.1645,2.1834
adv_step: 60      ,2.1636,2.1571,2.1652,2.1834
adv_step: 80      ,2.1646,2.1573,2.1667,2.1838
adv_step: 100     ,2.1661,2.1579,2.1685,2.1847
adv_step: 120     ,2.1671,2.1588,2.1706,2.1855
adv_step: 140     ,2.1669,2.1602,2.1725,2.1866
adv_step: 160     ,2.166,2.1609,2.1733,2.1874
adv_step: 180     ,2.1649,2.1616,2.1738,2.188
adv_step: 200     ,2.1647,2.1628,2.1746,2.1892
adv_step: 220     ,2.1652,2.1649,2.1762,2.1909
adv_step: 240     ,2.1661,2.1681,2.1777,2.1928
adv_step: 260     ,2.1679,2.1724,2.1794,2.1955
adv_step: 280     ,2.1708,2.1774,2.1819,2.1986
adv_step: 300     ,2.1741,2.1834,2.185,2.2029
adv_step: 320     ,2.1782,2.1902,2.1891,2.2069
adv_step: 340     ,2.1826,2.1974,2.1934,2.2103
adv_step: 360     ,2.1871,2.205,2.1978,2.2143
adv_step: 380     ,2.1923,2.2127,2.2029,2.2196
adv_step: 400     ,2.1979,2.2203,2.2078,2.2237
adv_step: 420     ,2.2032,2.2273,2.2134,2.2279
adv_step: 440     ,2.2082,2.2343,2.2183,2.2318
adv_step: 460     ,2.2134,2.2407,2.2241,2.2343
adv_step: 480     ,2.2181,2.2449,2.2293,2.2362
adv_step: 500     ,2.2233,2.2487,2.2329,2.2379
adv_step: 520     ,2.2282,2.2514,2.2359,2.2406
adv_step: 540     ,2.2315,2.2532,2.238,2.2428
adv_step: 560     ,2.2346,2.2552,2.2408,2.2466
adv_step: 580     ,2.2365,2.2561,2.2424,2.2489
adv_step: 600     ,2.2388,2.2547,2.2428,2.2504
adv_step: 620     ,2.2408,2.2522,2.242,2.2524
adv_step: 640     ,2.2423,2.2497,2.2415,2.253
adv_step: 660     ,2.2443,2.2484,2.2417,2.2543
adv_step: 680     ,2.2459,2.2455,2.2413,2.2549
adv_step: 700     ,2.2468,2.2429,2.24,2.2545
adv_step: 720     ,2.2477,2.2383,2.238,2.254
adv_step: 740     ,2.2484,2.2351,2.2358,2.2528
adv_step: 760     ,2.2477,2.232,2.2329,2.2512
adv_step: 780     ,2.2481,2.2278,2.2302,2.2497
adv_step: 800     ,2.247,2.2209,2.2279,2.2483
adv_step: 820     ,2.2456,2.2153,2.2264,2.248
adv_step: 840     ,2.2438,2.2109,2.2239,2.2457
adv_step: 860     ,2.2416,2.2064,2.2197,2.2424
adv_step: 880     ,2.2384,2.2004,2.2168,2.2391
adv_step: 900     ,2.2349,2.1959,2.2126,2.2358
adv_step: 920     ,2.2312,2.1922,2.2088,2.2337
adv_step: 940     ,2.2282,2.1889,2.2057,2.2323
adv_step: 960     ,2.2257,2.1865,2.202,2.2306
adv_step: 980     ,2.2221,2.1837,2.199,2.2281
adv_step: 1000    ,2.2179,2.1808,2.1965,2.2251
adv_step: 1020    ,2.2149,2.1793,2.1947,2.2228
adv_step: 1040    ,2.2122,2.1772,2.1923,2.2198
adv_step: 1060    ,2.2089,2.1764,2.1908,2.2175
adv_step: 1080    ,2.2052,2.1745,2.1887,2.215
adv_step: 1100    ,2.2019,2.1731,2.1861,2.2121
adv_step: 1120    ,2.1985,2.172,2.1842,2.2092
adv_step: 1140    ,2.1954,2.1703,2.1822,2.2073
adv_step: 1160    ,2.1935,2.1693,2.1806,2.2061
adv_step: 1180    ,2.1919,2.1684,2.1798,2.2058
adv_step: 1200    ,2.1899,2.1673,2.1791,2.2061
adv_step: 1220    ,2.1886,2.1665,2.1785,2.204
adv_step: 1240    ,2.1868,2.1657,2.1782,2.2028
adv_step: 1260    ,2.1855,2.1649,2.1777,2.2024
adv_step: 1280    ,2.1842,2.1646,2.1771,2.2017
adv_step: 1300    ,2.1833,2.164,2.1765,2.2016
adv_step: 1320    ,2.1821,2.1634,2.1756,2.2022
adv_step: 1340    ,2.1813,2.1627,2.1752,2.2013
adv_step: 1360    ,2.18,2.1621,2.1749,2.2002
adv_step: 1380    ,2.1792,2.162,2.1744,2.1995
adv_step: 1400    ,2.1783,2.1619,2.1738,2.1988
adv_step: 1420    ,2.1772,2.1617,2.1732,2.1985
adv_step: 1440    ,2.1766,2.1614,2.1728,2.1973
adv_step: 1460    ,2.1757,2.1611,2.1726,2.1965
