0,1,experiment-log-rmcgan (3),experiment-log-rmcgan (4),experiment-log-rmcgan (5),experiment-log-rmcgan (6)
pre_gen_epoch:0   ,3.3786,3.4067,3.3723,3.4205,3.4003
pre_gen_epoch:10  ,2.478,2.4751,2.4842,2.4753,2.487
pre_gen_epoch:20  ,2.3366,2.3373,2.355,2.3412,2.3449
pre_gen_epoch:30  ,2.2784,2.2812,2.2941,2.288,2.2915
pre_gen_epoch:40  ,2.2494,2.2566,2.2694,2.2659,2.2597
pre_gen_epoch:50  ,2.2298,2.2424,2.2553,2.2406,2.2364
pre_gen_epoch:60  ,2.2229,2.2226,2.2407,2.2336,2.2235
pre_gen_epoch:70  ,2.2087,2.2243,2.226,2.221,2.2135
pre_gen_epoch:80  ,2.2075,2.2032,2.2337,2.2112,2.2039
pre_gen_epoch:90  ,2.1968,2.2001,2.2194,2.2052,2.2027
pre_gen_epoch:100 ,2.1897,2.1918,2.2103,2.2033,2.1938
pre_gen_epoch:110 ,2.1822,2.1827,2.1985,2.1994,2.1859
pre_gen_epoch:120 ,2.1788,2.1808,2.1941,2.1913,2.1877
pre_gen_epoch:130 ,2.1708,2.185,2.197,2.1848,2.1751
pre_gen_epoch:140 ,2.1702,2.1756,2.187,2.1892,2.1718
adv_step: 0       ,2.1658,2.1691,2.1848,2.1802,2.1817
adv_step: 20      ,2.1661,2.1698,2.1845,2.1812,2.1831
adv_step: 40      ,2.1668,2.1706,2.1848,2.1823,2.1845
adv_step: 60      ,2.1681,2.1717,2.1855,2.1836,2.1862
adv_step: 80      ,2.1697,2.1731,2.1866,2.1856,2.1886
adv_step: 100     ,2.1717,2.1748,2.1882,2.1881,2.1906
adv_step: 120     ,2.1741,2.177,2.19,2.1905,2.1928
adv_step: 140     ,2.1771,2.1792,2.1921,2.1931,2.1952
adv_step: 160     ,2.1794,2.1818,2.1948,2.1956,2.1978
adv_step: 180     ,2.1825,2.1848,2.1971,2.1981,2.2015
adv_step: 200     ,2.1854,2.1874,2.1993,2.2006,2.2042
adv_step: 220     ,2.1883,2.1899,2.2023,2.2035,2.2077
adv_step: 240     ,2.1909,2.1931,2.2045,2.2066,2.211
adv_step: 260     ,2.194,2.1961,2.2072,2.2096,2.2143
adv_step: 280     ,2.1972,2.1983,2.2087,2.2123,2.2173
