epoch, nll_gen, bleu2, bleu3, bleu4, bleu5
0, 3.3606, 0.3764, 0.1203, 0.0485, 0.0282
10, 2.4878, 0.6861, 0.4045, 0.1985, 0.0998
20, 2.3492, 0.7473, 0.4605, 0.2295, 0.1159
30, 2.2916, 0.7325, 0.4504, 0.2299, 0.1199
40, 2.2687, 0.7447, 0.4601, 0.2275, 0.1187
50, 2.2386, 0.7579, 0.4763, 0.2434, 0.1243
60, 2.2328, 0.7343, 0.4578, 0.2364, 0.1205
70, 2.2132, 0.7306, 0.4455, 0.2233, 0.1119
80, 2.2045, 0.7441, 0.4575, 0.2318, 0.1187
90, 2.2019, 0.7243, 0.4472, 0.2229, 0.1110
100, 2.1922, 0.7232, 0.4449, 0.2234, 0.1122
110, 2.1906, 0.7455, 0.4647, 0.2436, 0.1227
120, 2.1892, 0.7450, 0.4505, 0.2234, 0.1118
130, 2.1822, 0.7352, 0.4613, 0.2334, 0.1164
140, 2.1782, 0.7352, 0.4568, 0.2281, 0.1143
0, 2.1795, 0.7477, 0.4673, 0.2399, 0.1239
20, 2.1785, 0.7479, 0.4603, 0.2251, 0.1089
40, 2.1782, 0.7496, 0.4726, 0.2389, 0.1191
60, 2.1779, 0.7625, 0.4764, 0.2425, 0.1207
80, 2.1772, 0.7658, 0.4803, 0.2486, 0.1243
100, 2.1762, 0.7649, 0.4926, 0.2620, 0.1296
120, 2.1757, 0.7666, 0.4831, 0.2434, 0.1191
140, 2.1755, 0.7748, 0.5075, 0.2689, 0.1339
160, 2.1763, 0.7635, 0.4881, 0.2574, 0.1339
180, 2.1779, 0.7798, 0.5094, 0.2779, 0.1418
200, 2.1804, 0.7598, 0.4897, 0.2630, 0.1332
220, 2.1838, 0.7678, 0.5120, 0.2751, 0.1402
240, 2.1882, 0.7515, 0.4891, 0.2649, 0.1415
260, 2.1932, 0.7615, 0.5077, 0.2859, 0.1517
280, 2.1986, 0.7484, 0.4933, 0.2650, 0.1344
300, 2.2042, 0.7505, 0.4984, 0.2797, 0.1416
320, 2.2103, 0.7547, 0.5140, 0.2895, 0.1605
340, 2.2165, 0.7541, 0.5005, 0.2678, 0.1350
360, 2.2206, 0.7422, 0.5035, 0.2853, 0.1546
380, 2.2252, 0.7099, 0.4691, 0.2594, 0.1379
400, 2.2303, 0.7333, 0.4849, 0.2716, 0.1488
420, 2.2351, 0.7125, 0.4897, 0.2803, 0.1569
440, 2.2386, 0.7192, 0.4888, 0.2829, 0.1528
460, 2.2399, 0.7098, 0.4838, 0.2726, 0.1497
480, 2.2413, 0.6915, 0.4615, 0.2563, 0.1393
500, 2.2424, 0.7045, 0.4677, 0.2657, 0.1465
520, 2.2424, 0.7020, 0.4801, 0.2650, 0.1439
540, 2.2408, 0.6942, 0.4504, 0.2396, 0.1257
560, 2.2410, 0.7057, 0.4698, 0.2584, 0.1341
580, 2.2384, 0.6811, 0.4494, 0.2516, 0.1431
600, 2.2353, 0.7038, 0.4774, 0.2705, 0.1432
620, 2.2323, 0.6778, 0.4533, 0.2579, 0.1414
640, 2.2300, 0.7002, 0.4826, 0.2727, 0.1451
660, 2.2267, 0.7059, 0.4684, 0.2674, 0.1460
680, 2.2255, 0.7112, 0.4806, 0.2773, 0.1498
700, 2.2232, 0.7004, 0.4676, 0.2688, 0.1502
720, 2.2198, 0.7239, 0.4880, 0.2724, 0.1485
740, 2.2164, 0.7349, 0.4865, 0.2760, 0.1463
760, 2.2134, 0.7450, 0.5062, 0.2857, 0.1509
780, 2.2102, 0.7422, 0.5047, 0.2842, 0.1540
800, 2.2074, 0.7116, 0.4698, 0.2577, 0.1371
820, 2.2056, 0.7394, 0.5007, 0.2786, 0.1538
840, 2.2048, 0.7334, 0.4895, 0.2693, 0.1424
860, 2.2028, 0.7200, 0.4768, 0.2682, 0.1446
880, 2.2001, 0.7250, 0.4734, 0.2604, 0.1355
900, 2.1982, 0.7166, 0.4719, 0.2607, 0.1337
920, 2.1971, 0.7281, 0.4769, 0.2572, 0.1297
940, 2.1946, 0.7455, 0.4998, 0.2791, 0.1503
960, 2.1916, 0.7332, 0.4883, 0.2711, 0.1478
980, 2.1895, 0.7449, 0.4917, 0.2736, 0.1440
1000, 2.1890, 0.7590, 0.5063, 0.2810, 0.1523
1020, 2.1868, 0.7391, 0.4834, 0.2548, 0.1325
1040, 2.1853, 0.7434, 0.4854, 0.2578, 0.1391
1060, 2.1845, 0.7582, 0.5045, 0.2751, 0.1474
1080, 2.1843, 0.7588, 0.5013, 0.2756, 0.1424
1100, 2.1834, 0.7405, 0.4779, 0.2536, 0.1330
1120, 2.1820, 0.7355, 0.4767, 0.2533, 0.1313
1140, 2.1811, 0.7637, 0.5072, 0.2670, 0.1392
1160, 2.1798, 0.7435, 0.4818, 0.2546, 0.1361
1180, 2.1789, 0.7463, 0.4820, 0.2635, 0.1398
1200, 2.1790, 0.7514, 0.4978, 0.2749, 0.1404
1220, 2.1786, 0.7408, 0.4856, 0.2673, 0.1427
1240, 2.1782, 0.7527, 0.4953, 0.2698, 0.1406
1260, 2.1771, 0.7362, 0.4740, 0.2497, 0.1313
1280, 2.1765, 0.7495, 0.4882, 0.2659, 0.1462
1300, 2.1756, 0.7604, 0.4943, 0.2688, 0.1421
1320, 2.1748, 0.7549, 0.4883, 0.2631, 0.1364
1340, 2.1744, 0.7478, 0.4819, 0.2575, 0.1306
1360, 2.1742, 0.7479, 0.4855, 0.2576, 0.1318
1380, 2.1741, 0.7379, 0.4806, 0.2507, 0.1316
1400, 2.1738, 0.7651, 0.4936, 0.2605, 0.1394
1420, 2.1736, 0.7491, 0.4914, 0.2667, 0.1328
1440, 2.1736, 0.7531, 0.4860, 0.2561, 0.1316
1460, 2.1733, 0.7547, 0.4889, 0.2669, 0.1401
1480, 2.1727, 0.7475, 0.4707, 0.2450, 0.1252
1500, 2.1723, 0.7612, 0.4891, 0.2610, 0.1338
1520, 2.1719, 0.7541, 0.4940, 0.2614, 0.1348
1540, 2.1719, 0.7608, 0.4888, 0.2527, 0.1301
1560, 2.1718, 0.7613, 0.4942, 0.2631, 0.1408
1580, 2.1715, 0.7657, 0.4922, 0.2588, 0.1327
1600, 2.1712, 0.7524, 0.4884, 0.2584, 0.1347
1620, 2.1710, 0.7526, 0.4834, 0.2454, 0.1248
1640, 2.1711, 0.7639, 0.4962, 0.2617, 0.1406
1660, 2.1707, 0.7427, 0.4749, 0.2470, 0.1269
1680, 2.1705, 0.7489, 0.4774, 0.2566, 0.1321
1700, 2.1703, 0.7617, 0.4898, 0.2591, 0.1377
1720, 2.1700, 0.7656, 0.4954, 0.2699, 0.1393
1740, 2.1700, 0.7447, 0.4640, 0.2432, 0.1270
1760, 2.1699, 0.7408, 0.4725, 0.2551, 0.1340
