experiment-log-rmcgan (1),experiment-log-rmcgan (2),experiment-log-rmcgan (3),experiment-log-rmcgan (4)
3.3942,3.3606,3.403,3.3429
2.4625,2.4878,2.4858,2.4663
2.3289,2.3492,2.3463,2.3331
2.2785,2.2916,2.2919,2.2764
2.2539,2.2687,2.2521,2.2481
2.228,2.2386,2.2476,2.2272
2.22,2.2328,2.2175,2.2276
2.2146,2.2132,2.2079,2.2069
2.2043,2.2045,2.2119,2.2014
2.1963,2.2019,2.1943,2.1999
2.1897,2.1922,2.1867,2.191
2.1932,2.1906,2.1845,2.1849
2.1825,2.1892,2.184,2.1799
2.1795,2.1822,2.1887,2.1746
2.1789,2.1782,2.1815,2.1747
2.1737,2.1795,2.1755,2.1742
2.173,2.1785,2.1738,2.1732
2.1727,2.1782,2.1734,2.1725
2.1732,2.1779,2.1743,2.1725
2.174,2.1772,2.1761,2.173
2.1756,2.1762,2.1778,2.1741
2.1773,2.1757,2.1783,2.1756
2.1784,2.1755,2.1777,2.177
2.1784,2.1763,2.1758,2.178
2.1776,2.1779,2.174,2.1787
2.177,2.1804,2.1731,2.1791
2.1765,2.1838,2.1738,2.1791
2.1768,2.1882,2.1754,2.1796
2.1775,2.1932,2.1781,2.1808
2.179,2.1986,2.1812,2.1827
2.1814,2.2042,2.1855,2.185
2.1842,2.2103,2.1906,2.1879
2.187,2.2165,2.1959,2.1911
2.1906,2.2206,2.2007,2.1943
2.1945,2.2252,2.2053,2.1976
2.1983,2.2303,2.2086,2.2019
2.2016,2.2351,2.2118,2.2062
2.205,2.2386,2.2151,2.21
2.2078,2.2399,2.2174,2.2134
2.2103,2.2413,2.2183,2.216
2.2133,2.2424,2.2187,2.219
2.2162,2.2424,2.2197,2.2216
2.2185,2.2408,2.2198,2.2237
2.2211,2.241,2.2181,2.2249
2.2236,2.2384,2.2153,2.2254
2.224,2.2353,2.2136,2.226
2.2246,2.2323,2.2126,2.2261
2.2256,2.23,2.2116,2.2264
2.2254,2.2267,2.2089,2.2261
2.2244,2.2255,2.2067,2.2262
2.2233,2.2232,2.2038,2.2252
2.2231,2.2198,2.1999,2.2237
2.222,2.2164,2.1975,2.2221
2.2199,2.2134,2.1951,2.2197
2.2183,2.2102,2.1922,2.2179
2.2163,2.2074,2.1896,2.2157
2.2131,2.2056,2.1884,2.2141
2.2105,2.2048,2.187,2.2117
2.2081,2.2028,2.1853,2.2089
2.2047,2.2001,2.1841,2.2059
2.2026,2.1982,2.1833,2.2026
2.2009,2.1971,2.1825,2.2002
2.199,2.1946,2.181,2.1978
2.1967,2.1916,2.1796,2.1957
2.1949,2.1895,2.1778,2.1934
2.1921,2.189,2.177,2.1912
2.1904,2.1868,2.1756,2.1892
